7:302,616,58,8,518,29,650,15,542,61
18:17,518,654,8,616,650,302,58,84,199
19:17,302,654,76,616,58,8,866,84,29
36:17,518,616,8,654,542,32,58,84,564
37:17,15,542,103,61,616,32,8,1126,1987
41:17,616,302,654,542,58,15,61,101,902
42:17,518,542,58,654,302,61,15,564,787
43:17,302,76,616,654,542,58,508,1023,327
44:616,302,542,15,861,1196,61,8,518,564
45:76,347,564,17,302,616,650,58,226,508
46:616,302,8,58,564,542,61,245,15,76
59:616,542,654,15,58,245,508,564,32,787
60:302,58,616,84,542,29,15,650,518,76
69:61,654,58,302,32,564,1196,787,364,508
70:302,654,76,84,354,58,29,616,650,301
94:17,616,32,654,58,302,364,1405,564,554
106:15,518,8,32,61,84,554,6,364,1511
115:58,15,8,518,61,861,787,902,322,289
116:226,508,76,564,17,70,698,302,245,1023
142:58,61,32,8,364,84,554,861,322,6
143:394,483,3231,17,302,616,84,564,363,32
148:17,616,70,8,542,1023,302,654,564,15
150:17,302,654,650,61,564,542,29,15,8
156:302,616,58,8,542,61,32,787,84,289
161:616,84,15,542,101,564,289,787,301,1196
171:302,15,61,861,84,650,518,564,101,8
172:58,654,542,861,8,518,61,554,564,238
174:8,518,11194,654,3233,431,1023,1208,296,899
177:17,58,616,654,542,8,518,15,32,861
196:616,542,15,61,564,32,322,650,289,76
202:302,58,542,15,8,518,32,245,1535,787
211:17,873,3704,8,947,787,564,103,119,1382
217:17,518,616,245,15,654,8,302,564,787
220:10178,186,22713,4032,46421,40356,88939,429,7649,39446
223:616,654,58,302,518,8,322,564,245,94
224:4797,353,1951,518,17,245,8,654,84,601
225:616,302,15,542,654,518,58,61,8,32
228:17,302,616,58,650,654,564,542,76,29
229:58,15,518,61,32,84,787,363,94,861
231:616,302,654,58,76,32,518,84,8,61
232:5844,24068,40084,41443,86134,108129,83516,73208,77677,100265
238:441,1744,245,17,710,8,70,2715,76,1410
241:616,58,542,61,15,861,518,650,564,1196
245:81,262,16786,650,3939,508,780,5767,3137,10071
249:17,654,616,302,15,94,518,61,542,8
250:616,58,302,654,542,518,8,564,245,787
253:189,508,17,3107,1527,76,245,8,3172,4825
257:17,542,15,861,61,62,32,1196,554,289
272:654,1102,58,29,8,616,518,354,301,650
273:17,302,654,101,15,650,787,554,1196,508
288:616,17,15,58,1196,61,554,650,1511,364
290:17,302,138,654,76,226,616,354,84,58
291:17,518,84,302,1102,616,654,354,101,787
292:616,58,654,542,61,564,32,289,861,94
294:17,302,8,15,542,787,564,32,61,94
328:302,616,654,84,58,29,354,61,787,76
331:17,654,616,302,58,15,542,8,6,518
345:1754,77581,385,805,11281,62840,39936,11401,5726,33223
361:616,58,29,354,518,8,650,76,15,301
376:302,58,17,616,29,6,84,542,861,285
384:17,616,542,654,302,15,1196,8,518,61
401:616,58,542,15,32,61,1102,245,508,94
402:302,654,15,542,61,518,8,861,564,1196
410:4755,76,508,984,463,8860,1326,17,378,10041
448:616,245,518,15,61,542,8,302,58,654
449:17,616,654,302,15,58,32,1405,518,61
450:654,15,302,1511,245,94,363,76,84,1403
452:17,302,616,13523,58,518,76,8,650,238
476:17,245,302,1405,364,616,518,654,61,70
488:17,616,302,15,542,58,518,61,508,564
490:17,302,15,61,32,101,554,76,650,289
494:616,17,654,58,542,15,518,1196,8,564
500:17,302,8,616,76,654,650,58,564,29
514:17,616,302,58,650,76,8,542,654,564
525:616,302,84,518,15,70,245,564,654,61
535:17,29,518,542,564,8,1102,861,101,289
536:616,302,654,58,8,518,542,15,32,650
538:616,302,654,58,15,101,564,1102,61,508
539:17,58,654,542,518,8,15,564,32,289
564:15,84,518,8,650,76,564,289,32,61
582:616,15,564,518,861,76,84,1196,61,32
585:17,616,302,654,58,94,15,61,29,8
590:654,518,8,101,542,76,15,564,354,301
601:226,121234,121660,90054,31717,27912,105155,48912,75023,18245
618:17,616,542,58,654,15,518,302,8,61
624:17,76,302,101,564,8,508,84,616,654
627:4671,11539,5512,9594,7334,1077,83175,19731,10071,7088
628:17,76,58,8,84,70,518,542,354,1102
632:17,81,76,508,5767,654,302,542,931,226
633:58,302,654,15,61,8,518,1196,564,32
634:508,17,70,226,780,616,5767,262,76,8
646:17,302,654,76,58,616,546,564,542,500
666:10981,533,5975,3034,8772,911,11590,4671,1337,18920
667:17,616,654,58,302,15,518,61,542,564
669:518,11470,1803,10493,5614,736,2337,17,721,11984
678:17,58,654,302,542,8,518,15,564,861
680:17,616,654,58,15,518,650,8,61,32
681:245,441,508,1744,76,710,17,4268,1065,719
682:1528,2318,76,7711,9783,14754,698,564,16305,2275
683:669,542,15,1535,103,429,1126,1089,441,4904
684:168,984,5480,719,8860,1460,1326,661,463,8733
715:4671,2543,9435,11855,8392,12861,311,8867,17486,42989
716:17,616,302,654,58,861,84,1196,542,650
741:168,984,17,8860,564,8733,1400,302,76,574
750:15,61,8,32,564,322,6,76,787,402
754:616,17,302,58,654,542,61,32,76,554
756:616,84,101,15,289,542,8,861,554,1102
757:17,302,58,616,654,564,84,76,8,29
758:17,616,302,58,654,76,15,8,542,32
763:17,84,650,8,542,564,15,29,518,1196
773:17,654,302,8,616,58,101,650,76,542
774:17,302,61,1196,32,518,1511,8,564,554
775:58,542,15,518,564,787,245,94,76,1196
782:616,245,518,15,61,654,8,542,508,58
784:17,542,302,518,94,787,1196,508,84,289
793:654,616,8,29,518,354,564,76,542,101
803:17,6450,1119,84,245,302,70,354,891,654
813:17,616,61,654,542,302,518,94,564,84
815:542,654,58,15,302,61,364,8,564,32
817:1102,58,29,616,138,518,8,736,301,76
818:984,5480,463,8860,1326,1528,76,2318,760,8733
823:245,17,94,1382,8,518,1744,15,302,70
825:616,518,654,58,8,542,94,363,787,508
833:302,58,8,564,1196,861,787,508,999,363
835:616,542,58,302,654,518,15,101,61,32
838:8066,862,12861,8392,219,7622,2543,8427,4671,9189
844:58,29,8,76,354,518,736,289,15,787
850:17,866,302,654,354,29,84,76,58,616
856:364,6,486,999,1535,62,4904,301,1405,1140
857:302,15,518,542,8,84,61,564,289,76
874:518,58,302,364,787,554,1196,508,999,238
891:17,361,302,654,29,354,84,76,58,1102
899:17,616,8,518,542,15,564,302,32,654
900:17,302,654,29,58,616,224,76,650,542
911:302,616,654,58,76,518,8,564,29,84
918:17,302,654,58,616,8,15,518,542,84
925:17,302,616,58,654,84,564,518,8,76
926:58,302,542,518,8,32,322,84,861,564
937:518,616,302,542,654,58,245,564,61,787
949:17,302,654,76,616,58,8,866,84,29
964:17,2403,94,15,518,947,8,65,616,61
970:14636,2656,8,4300,9093,518,656,4613,84,2031
977:17,518,15,61,787,554,1511,322,650,364
981:1002,245,710,1744,17,4513,1410,8,4268,508
982:17,2162,875,84,302,1119,245,70,354,1023
984:17,616,58,654,542,15,8,61,245,76
992:17,508,245,226,616,70,564,8,15,780
993:654,84,58,29,616,354,76,1102,518,138
998:17,616,654,302,58,15,542,61,84,32
1000:17,58,542,518,61,8,1196,554,84,101
1007:654,17,542,8,564,15,1196,554,29,224
1027:168,1400,661,1326,801,2318,8733,1528,760,7838
1028:17,302,616,518,58,15,542,564,61,29
1044:17,616,654,302,84,58,8,518,61,542
1045:17,58,542,518,61,8,564,101,6,364
1049:76,17,564,616,302,61,654,2139,81,542
